"speaker","transcription","url","headlin","timing"
"President Trump","Thank you, Cody. Good job you did Cody. He was [inaudible 00:08:57] but he’ll be up there very soon. He’s doing good. Come on sit down please. Let’s have some fun. I really am thrilled to be here in Midland, Texas with the extraordinary men and women of Double Eagle Energy, and what a nice welcome. Thank you very much. [inaudible 00:09:18] big beautiful rigs behind me. Thanks to the hard working citizens like you in United States Of America this is now the number one energy superpower anywhere in the world, so congratulations. It’s not that easy, but no one said it’s easy. We’re here today to celebrate your incredible achievements, we are also here to send a clear message to the Zealots radicals and extremists trying to shut down your and to make America subservient to foreign producers. That won’t happen to this nation again. Long time to be independent and.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","00:00"
"President Trump","A long time to be independent, and as long as I’m your president, we will never let anyone put American energy out of business, which is what they’d like to do. We will never again be relying on hostile foreign suppliers. We will defend your jobs and we will defend the Lone Star State, I love this state. We will defend Americans who found energy independence. Before going any further I want to provide you with a brief update on our battle against the China virus. Our hears are with the people of Texas. We love our people. We love our country. Statewide presentive patients testing positive has stabilized, and the number of new cases has begun to substantially decline. But Texans must remain vigilant.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","10:02"
"President Trump","To protect our seniors my administration has deployed personal protective equipment and rapid point of care testing systems to every Medicare and Medicaid-certified nursing home in your state. No matter where you go they have it.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","10:59"
"President Trump","This week, access hospitals are receiving 500 cases of antiviral treatment remdesivir. It’s been very, very successful. Enough to treat 3200 patients.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","11:15"
"President Trump","Under my administration’s Operation Warp Speed, we’re developing vaccines in record time. Earlier this week, a promising vaccine entered the final stage of clinical trials long ahead of schedule, with more following very quickly behind. We have some of the greatest companies, labs in the world doing this. This is the fastest a vaccine has ever been developed. Together we will end the plague from China. We will defeat the virus.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","11:29"
"President Trump","I want to thank everyone at Double Eagle Energy for hosting us today, including co-founders, two great, young, smart people, Cody Campbell and John Sellers. Thank you, Cody. Thank you, John. Thank you fellas. Good job.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","12:07"
"President Trump","Thanks also to anterior secretary David Bernhardt. David, thank you. Energy secretary Dan Brouillette, Texas says keep him, we really kept him very busy. Where’s Dan? You’ve been kept very busy, very busy. A great Senator and a great friend of mine, Senator Ted Cruz. Ted, thank you. He’s out there fighting for you. I want to tell you. Thank you Ted.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","12:26"
"President Trump","Representatives, and these are friends of mine and they’re warriors, Jodey Arrington and Mike Conaway, thank you fellas. Thank you. Thank you. Great job. A very, very special man and a very special talent, Governor Greg Abbott. Thank you. Thank you, Greg. Great job you’re doing. He’s working hard and you’re doing a fantastic job. Our people are working together and you’re getting everything you need. So good. Thank you for doing such a good job and thank also Dan Patrick, your Lieutenant governor, my friend. Thank you very much, Dan. Great help, great team. No better team in the country. Thank you. Midland County judge, terry Johnson. Thank you Terry. Thank you. Your former governor, a great man, a friend of mine, secretary of energy, Rick Perry. Nobody did a better job than my Rick. Thank you Rick.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","12:56"
"President Trump","We have so many other distinguished guests and local leaders and we just want to thank you all for being here. Thank you all very much. Great honor. Thank you very much for being here.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","13:58"
"President Trump","Under the last administration, America’s energy industry was under relentless and unceasing attack, you know that. But the day I took the oath of office, we ended the war on American energy and we stopped the far left assault on American energy workers. Now the assault, you’ve seen what’s going on. It could come again. But I have a very strong feeling you’re not going to have to worry about it. If you do you’re in big, big trouble.","https://www.rev.com/blog/transcripts/donald-trump-speaks-at-midland-oil-rig-transcript-july-29-signs-pipeline-permits","Donald Trump Speech Transcript at Midland Oil Rig July 29: Signs Pipeline Permits","14:09"
