"speaker","transcription","url","headlin","timing"
"Donald Trump","Good music, but we have to get down to business. We’re in North Carolina, and they talk business. But I want to just thank everybody for being here. Wonderful crowd. Oh, look up there, look at all those people. Thank you very much. Thank you very much. And thank you to Ben, a special guy. He was very tough, you know, on the campaign trail. I had to fight him for a long time. He wouldn’t go away. He doesn’t give up. And he’s smart, and he’s good, and he was a great surgeon, and, I don’t know, he gave that up for politics? I’m going to have to talk to you about that. Where is he sitting? Where is he? Ma- you, why did, I’m going to talk to you about that later. Have to explain, I think he’s probably regretting that now. He’s doing an incredible job, an incredible job. You really are, Ben.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","00:29"
"Donald Trump","Housing. He’s done a job like few people have done it, but wonderful to be here with the incredible men and women who are restoring prosperity. That’s what you’re doing. Rebuilding hope and delivering opportunity to those who need it most. Together we’re making our country stronger than ever before. We are doing numbers that you wouldn’t even believe. Nobody would have thought it was possible. This morning the brand new jobs numbers came in. We smashed expectations and created 225 thousand new jobs last month. 225 thousand. They were thinking maybe 100, maybe 105. I was watching all the geniuses this morning on television. What do you think it’s going to be? It’s going to be 110. 225. Pretty good, right? 225 thousand for last month. That’s only last month.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","01:20"
"Donald Trump","Unemployment claims in North Carolina are down 30% since the election and have fallen to their lowest level ever recorded. Pretty good. And we’re here in Charlotte to expand and grow this unprecedented economic momentum that we have going all over the country. You’re having the best year you’ve ever had in this state by far. Today we’re launching a brand new nationwide campaign to revitalize underserved cities and towns all across America. It’s called Opportunity Now. Opportunity Now. It’s a big deal.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","02:12"
"Donald Trump","And you know we did with Tim Scott, Opportunity Zones, and they’re the hottest thing you’ve seen. Their money is pouring in, Tim from South Carolina, and the money is, anybody from South Carolina here? Huh? Say hello to Tim. He really did, he came to my office with this idea, and I said, “Sounds good.” But those things traditionally have not worked, and Opportunity Zones are, amazing what’s happened. Tremendous amounts of money being put into areas that hadn’t seen money for decades and decades.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","02:51"
"Donald Trump","Anyway, so what we’re doing is because we aren’t waiting for tomorrow and we aren’t deferring people’s dreams to another day, with relentless optimism we’re taking action right now, and I mean right now, to create a future of dignity and security for all. Going to be an incredible situation, you’ll see. And we believe in no American left behind. That’s what it’s all about. No American left behind. In the coming months my administration will hold summits just like this one in cities across the country, working closely with community leaders, workers, entrepreneurs, employers, and faith leaders, our great faith leaders, so many great people I’ve met. You know, we got ready of the Johnson Amendment so they can speak their will, right? Right? To make sure that every citizen can join in America’s unparalleled success and every community can take part in America’s extraordinary rise, together we’re building the most inclusive economy and the most inclusive society ever to exist. We’re fighting for great jobs, great education, safe homes, and a limitless future for our people. We’re lifting high citizens of every race, religion, color, and creed. We are all Americans and we are all made equal by the hand of Almighty God. You know that very well.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","03:22"
"Donald Trump","Joining us today is small business administrator Jovita Carranza, who is helping to lead this groundbreaking effort along with Secretary Carson. Jovita? Where is Jovita? Jovita. Good! Thank you, Jovita. Great job.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","04:54"
"Donald Trump","Thanks also to the many great members of Congress that you have with us, and these are warriors. These aren’t like, these people have been fighting hard. Do you mind if I take a mi- am I allowed to take a s- couple of seconds and introduce them? I call them warriors. Senators and Congressmen and women, but they’ve been incredible. You saw what happened. It was the impeachment hoax. And now that’s a thing of the past, so now they have a failed impeachment hoax. They can put that on their resume. That doesn’t go good on a resume, right? That’s a failed hoax. Every one of them have to put it right on that resume. It was a fix, except when it got up to Congress where we had 197 to nothing. Our Republicans hung in, and our tensors were incredible. They were really incredible, same kind of a thing, and a man’s here who’s really become a friend over the last year and a half, and we had a good relationship, but we sort of disagreed on a couple of minor policies, and that’s okay. Of course I won’t put up with it for long, Thom Tillis. He’s been a great friend.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","05:11"
"Donald Trump","It’s true. Now we just had some disagreements at the beginning, and now at the last year, year and a half, boy, it’s been good. Right? It’s been good, and you have something on sanctuary cities that’s going to be incredible. It got one of the big hands that, I know nobody listened to the speech yet tonight, but it got a big hand. Going to be good. You got to push that, right? So Thom, thank you, and thank you for your support. It was great, your vote and everything else, and we have some Congressmen. I’ve gotten to know them well. It’s like we were in the trenches together. Representative Ted Budd. Thanks, Ted. Good job. A man I campaigned with and he was fantastic. He handled pressure very well. They said you couldn’t win and he won by a lot. We did a little bit of a rally for two guys that are very special. One of them is Dan Bishop, Dan. Thank you, Dan. He campaigned and he didn’t choke. There was no choke. He had a lot of pressure but he ended up, won by, like, five or six points. It was, like, boring that evening. You were winning by too much. I thought it was going to be a lot closer than that, right? Richard Hudson, another one. Great. Richard, great. Good job.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","06:42"
"Donald Trump","Everybody knows Mark Walker. Thanks, Mark. Another one of those too that I talked about recently, you know, CNN, they all had their vans. They were all ready because they thought we’d have two losses, and they go out and say, “Trump had a terrible night.” But they both won. And this guy was pretty even, and I think he won by 28 points, right? It was like… Greg Murphy. Right, Greg? He won by a lot. They both won by a lot. A man that I’ve gotten to know too well. I love his wife. I mean, his wife, she was with me before he was with me, I have to say. But he came along very quickly. A long time ago, right? And she would go out with Women for Trump. They had buses. She had buses all over the place, right? Deb, where is she? Where’s our Deb? Oh, there. Well, I know them. Because they followed me around a little bit, right? They are incredible. They are incredible. How many have you come to, how many rallies have you? This isn’t a rally, you know. This is a serious deal. How many rallies, would you say? A lot. And we have a lot of fun. Thank you very much, hon.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","08:09"
"Donald Trump","Mark Meadows, everybody. Mark. Great guy. A man who is without question the greatest name in politics. I said, if I had his name, I would have been president at least 10 years sooner. Patrick McHenry. Right? Best name in politics. A woman who’s much tougher than any of these people. She doesn’t stop, right? Mark, she doesn’t stop. But she’s great. We love her. Virginia Fox. A very popular guy who wins elections by a lot. He’s a tremendous asset to Congress, and a tremendous friend, Ralph Norman. Ralph? Thank you, Ralph. We call him landslide Ralph, because he wins by a lot. William Timmons. William, thank you. Great job. Great job. And a man whose son I probably like even more than him, Allen. What a job Allen’s done. Joe Wilson is tough and smart and he is there all the time, and his son is just like him. His son is better than him, I think. Right? And he doesn’t mind. You know, I have a lot of fathers that, they don’t like it when I say that. I’ve had some, please don’t say that my son is better. They say, “You’re not a good father!” He’s a great father. And he’s proud of his son. His son’s fantastic, and he’s fantastic, and thank you very much. Thanks, Joe.","https://www.rev.com/blog/transcripts/trump-speech-transcript-at-opportunity-now-summit-in-charlotte-nc","Donald Trump Speech Transcript at Opportunity Now Summit in Charlotte, NC","09:36"
