"speaker","transcription","url","headlin","timing"
"Donald Trump","Thank you very much. Thank you very much. It’s very hot today. Please sit down. This is going to be a very hot one and we apologize to everybody out there that’s got to suffer through it. But you know what? It’s better than bad weather and it’s great to be in the rose garden. I want to especially thank this group for joining us as we announce a historic groundbreaking initiative in our ongoing effort to rapidly develop and manufacture a coronavirus vaccine. We’re joined by secretary Steven Mnuchin, Secretary Mark Esper, Secretary Alex Azar, Chairman of the Joint Chiefs of Staff, General Mark Milley, FDA Director, Dr. Stephen Hahn, Director of the National Institute of Health, Dr. Francis Collins, Dr. Fauci, Dr. Birx. We’re joined by a very terrific group of professionals.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","00:11"
"Donald Trump","Tomorrow will mark 30 days since we released the White House guidelines for a safe and phased opening of America. That’s what we’re doing. It’s the opening of America. We’re going to have an amazing year next year. We’re going to have a great transition into the fourth quarter. As of this morning, almost every state has taken steps to begin reopening and the American people are doing an extraordinary job of continuing to take precautions while at the same time wanting to start, and they will be starting, to resume their American way of life. We will be reigniting our economic engines. We’re going to be taking care of our most vulnerable, which are our senior citizens and some others. We’re going to be working very, very hard on our senior citizens and our nursing homes and various communities to support those that are struggling in this very difficult time. Others don’t have the same kind of struggle.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","01:10"
"Donald Trump","For example, today, Secretary Perdue, together with Ivanka Trump, launched the Farmers and Families Food Box Program, which will provide $3 billion to help small farmers. And it will be helping farmers, ranchers, but it’ll be bringing food to some of the food lines and some of the food kitchens that you’ve been seeing on television. And I said, “Why aren’t we doing that? We have all of this tremendous food produced by our farmers and our ranchers.” And so we’re going to be buying $3 billion worth of that food, great for everybody. Our farmers, our ranchers, and the people that need great food.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","02:14"
"Donald Trump","A key feature of our reopening plan is the largest and most ambitious testing system in the world by far. America is now conducting close to 350,000 tests per day, an unthinkable number just a short while ago, more than anybody in the world by far, suggesting many states now have excess testing capacity to monitor for new outbreaks. Florida, many other states have so much testing the testers are waiting for people to show up. It’s great.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","02:51"
"Donald Trump","Another essential pillar of our strategy to keep America open is the development of effective treatments and vaccines as quickly as possible. Want to see if we can do that very quickly. We’re looking to, when I say quickly, we’re looking to get it by the end of the year if we can, maybe before. We’re doing tremendously well. From the earliest days of the pandemic, we have marshaled the genius of American scientists and researchers from all across government and the private sector, from academia, from everywhere to vanquish the virus, and tremendous strides have been made. Can tell you, I get to see it every day. Tremendous strides are being made. Scientists at the NIH began developing the first vaccine candidate on January 11th, think of that, within hours of the virus’s genetic code being posted online. So January 11th, most people never even heard what was going on January 11th. And we were out there trying to develop a vaccine, not even knowing what we were up against. Then my administration cut through every piece of red tape to achieve the fastest ever, by far, launch of a vaccine trial for this new virus, this very vicious virus. And I want to thank all of the doctors and scientists and researchers involved because they’ve never moved like this or never even close.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","03:23"
"Donald Trump","The NIH and the HHS have also been working constantly with private industry to evaluate more than 100 potential treatments. The Food and Drug Administration has swiftly approved more than 130 therapies for active trials. That’s what we have right now, 130. And another 450 are in the planning stages and tremendous potential awaits. I think we’re going to have some very interesting things to report in the not too distant future. And thank you very much to Dr. Hahn. Through a historic series of funding bills, my administration is providing roughly $10 billion to support a medical research effort without parallel. I especially want to thank Senator Steve Daines of Montana for his incredible work. He has worked so hard to secure additional funding for vaccine development. He has been right at the forefront.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","04:51"
"Donald Trump","Today, I want to update you on the next stage of this momentous medical initiative. It’s called Operation Warp Speed. That means big and it means fast, a massive scientific, industrial and logistical endeavor unlike anything our country has seen since the Manhattan Project. You really could say that nobody’s seen anything like we’re doing, whether it’s ventilators or testing. Nobody’s seen anything like we’re doing now within our country since the second World War, incredible. Its objective is to finish developing and then to manufacture and distribute a proven coronavirus vaccine as fast as possible. Again, we’d love to see if we could do it prior to the end of the year. We think we’re going to have some very good results coming out very quickly.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","05:49"
"Donald Trump","In addition, it will continue accelerating the development of diagnostics and breakthrough therapies. The great national project will bring together the best of American industry and innovation, the full resources of the United States government, and the excellence and precision of the United States military. We have the military totally involved. We’re also working very strongly with other countries who are also have some great, great scientists, doctors, and we’re all working very closely together and they’re viewing us as the leader and we are. The relationship with other countries on solving this problem has been incredible. Today, the Operation Warp Speed has brought together all of the experts across the federal government from places like the NIH, CDC, FDA, and many other agencies. This historic partnership will now bring together the full resources of the Department of Health and Human Services with the Department of Defense. And we know what that means. That means the full power and strength of military, the military, and that really talking about the logistics. We get it when we get it. That means the logistics, getting it out so that everybody can take it.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","06:41"
"Donald Trump","And today, we’re proud to announce the addition of two of the most highly respected skilled professionals in our country, worldwide respected. Operation Warp Speed’s chief scientists will be Dr. Moncef Slaoui, a world renowned immunologist who helped create 14 new vaccines, that’s a lot of our new vaccines, in 10 years during his time in the private sector. One of the most respected men in the world in the production and, really, on the formulation of vaccines. Joining Dr. Slaoui as Chief Operating Officer will be General Gus Perna, a four star general who currently oversees 190,000 service members, civilians, and contractors as Commander of the US Army Material Command. That means logistics. That means getting it out. We’ve got to get it out there. So General, thank you very much. And doctor, thank you very much. It’s great to have you on board. Really highly respected people. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","07:59"
"Donald Trump","It’s great to have you on board. Really highly respected people. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","09:03"
"Donald Trump","These two outstanding individuals will provide more details following my remarks. In preparation for this initiative, experts throughout the government have been collaborating to evaluate roughly 100 vaccine candidates from all over the world. They have identified 14 that they believe are the most promising and they’re working to narrow that list still further. So we started off with over 100, we’re down to 14, and we have some really interesting choices to be made. They’re doing very well.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","09:05"
"Donald Trump","Through Operation Warp Speed, the federal government is providing unprecedented support and resources to safely expedite the trials. Moving on at record, record, record speed. While we accelerate the final phases of vaccine trials, Operation Warp Speed will be simultaneously accelerating its manufacturing and manufacturing process. In other words, we’re getting ready so that when we get the good word that we have the vaccine, we have the formula, we have what we need, we’re ready to go. As opposed to taking years to gear up. We’re gearing up. It’s risky, it’s expensive, but we’ll be saving massive amounts of time. We’ll be saving years if we do this properly. And that’s what we’re doing. So we’re gearing up on the assumption that we’ll have in the near future, relatively near future, a vaccine.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","09:36"
"Donald Trump","Typically pharmaceutical companies wait to manufacture a vaccine until it has received all of the regulatory approvals necessary. And this can delay vaccines availability to the public as much as a year, and even more than that. However, our task is so urgent that under Operation Warp Speed, the federal government will invest in manufacturing all of the top vaccine candidates before they’re approved. So we’re knowing exactly what we’re doing before they’re approved. That means they better come up with a good vaccine, because we’re ready to deliver it. This will eliminate any unnecessary delay and enable us to begin providing Americans with a proven vaccine the day our scientists say, “We’re ready, we got it.”","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","10:35"
"Donald Trump","And as we work to bring critical medical production back to America, these vaccines that we’re going to be focused on and manufacturing, they’re all going to be right here in the USA. Now we’re working, as I said, with other people outside, and that’s fine too. We want to get to the solution. We know exactly where the other countries are and we’ll be very happy if they were able to do it. We’ll help them with delivery, we’ll help them with it in every way we can. We have no ego when it comes to this. No ego whatsoever. Operation Warp Speed is also making the necessary preparations to distribute these life saving treatments at scale. So we’re talking about massive numbers so that millions of Americans will quickly have access to them. This includes ramping up production of supplies needed for distribution. And I have to say, we’re also very, very much involved in other things other than the vaccine. If you take a look at what we’re doing beyond vaccines, it’s going to be very interesting. We may talk about that in a little while. But this includes ramping up production of supplies needed for distribution, such as cold chain storage, glass vials, needles, syringes, and more. We’ll have everything right on hand, ready to go.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","11:23"
"Donald Trump","When a vaccine is ready, the US government will deploy every plane, truck and soldier required to help distribute it to the American people as quickly as possible. America’s blessed to have the most brilliant, talented doctors and researchers anywhere in the world. We have the mightiest military by far in the world. Our military is completely rebuilt. Much of the equipment has been delivered. Some of it’s on the way. All made right here in the USA. We took over very, very empty cupboards, I say, medically. We also had empty cupboards in a military sense. Our military was in sad shape. It was depleted. We now have the strongest military the United States has ever had by far, and the best equipment. And you hear that outside, that beautiful sound, those are truckers that are with us all the way. They’re protesting in favor of President Trump, as opposed to against. There’s hundreds of trucks out there. And that’s the sign of love, not the sign of your typical protest. So I want to thank our great truckers. They like me and I like them. We’re working on something together.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","12:51"
"Donald Trump","But we have the mightiest… And they’ll be helping us with this, by the way. Speaking of truckers. We have the mightiest military in the long history of humankind. We have the best and most devoted workers ever to walk the face of the earth. And now we’re combining all of these amazing strengths for the most aggressive vaccine project in history. There’s never been a vaccine project anywhere in history like this. And I just want to make something clear. It’s very important, vaccine or no vaccine, we’re back. And we’re starting the process. And in many cases they don’t have vaccines and a virus or a flu comes and you fight through it. We haven’t seen anything like this in 100 and some odd years, 1917, but you fight through it. And people sometimes, I guess, we don’t know exactly yet, but it looks like they become immune or at least for a short while and maybe for life. But you fight through it. But what we’d like to do, if we can, is the vaccine. And I think we’re going to be successful in doing it, and hopefully by the end of the year.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","13:58"
"Donald Trump","Just as generations of Americans before us faced down the most difficult trials, set their sights on the highest summit and overcame the biggest obstacles, america will meet the moment, and this moment specifically in our time, with unrivaled speed, unmatched scale, and the unyielding spirit of the American people. Our nation will come back stronger and greater than ever. We’re going to have a tremendous year next year. We’re going to have a really good fourth quarter. We’re going to have a very interesting and productive transition quarter, where Steve is there, And I’m sure our Secretary of the Treasury, I think you feel the same way, Steve. And thank you for your good work. Really good work. And it’s not finished yet, is it? I want to thank Steve Mnuchin, everybody.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","15:03"
"Donald Trump","Now I’d like to ask Dr. [Slowey and 00:15:54] and General Perna to come up and say a few words, followed by Secretary Azar and Secretary Esper. Thank you all very much. We’re doing something that has never been done before. It’s a going to result in a tremendous end. I think we’re going to come up with a solution to a problem like this country probably has never seen before. But it’s an honor to be your president. We’re doing a great job. These people are doing an incredible job. The people right here, I want to thank you all. Total professionals. Great men, great women. Thank you all very much. Please.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","15:51"
"Dr. Moncef Slaoui","Thank you, Mr. President. Good afternoon, everyone. It’s a great honor and a privilege for me to have the opportunity to serve our country and the world in this remarkable endeavor. Extraordinary endeavor. Helping them and supported them do it. The Operation Warp Speed objectives are very clear. The president has described them, and I believe they are very credible. I also believe they are extremely challenging. However, I am really confident that our team across the many governmental agencies that are involved in these efforts, NIH, the CDC, the FDA, Esper, and of course with the support of the army and our partners in the private sector, we’ll be able and we’ll do the utmost to deliver these objectives. In fact, Mr. President, I have very recently seen early data from a clinical trial with a coronavirus vaccine, and this data made me feel even more confident that we will be able to deliver a few hundred million doses of vaccine by the end of 2020. And we will do the best we can, the best we can to do that. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","16:36"
"Dr. Moncef Slaoui","We will of course also focus on progressing and-","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","17:59"
"Dr. Moncef Slaoui","… Of course also focus on progressing and accelerating development of medicines for those who unfortunately already caught the virus, as well as optimize the diagnostic tests. This will be our focus 24/7 over the next many months. Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","18:03"
"Donald Trump","Thank you.","https://www.rev.com/blog/transcripts/donald-trump-speech-transcript-on-vaccine-development-for-coronavirus","Donald Trump Speech Transcript on Vaccine Development for Coronavirus","18:17"
