"speaker","transcription","url","headlin","timing"
"Donald Trump","Well, thank you very much. My fellow Americans I greet you this morning from the White House to announce a major breakthrough toward achieving a better future for Syria and for the Middle East, it’s been a long time. Over the last five days, you have seen that a ceasefire that we established along Syria’s border has held and it’s held very well beyond most expectations. Early this morning, the government of Turkey informed my administration that they would be stopping combat and their offensive in Syria and making the ceasefire permanent and it will indeed be permanent.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","00:00"
"Donald Trump","However, you would also define the word permanent in that part of the world as somewhat questionable, we all understand that, but I do believe it will be permanent. I’ve therefore instructed the secretary of the treasury to lift all sanctions imposed on October 14th in response to Turkey’s original offensive moves against the Kurds in Syria’s Northeast border region. So the sanctions will be lifted unless something happens that we’re not happy with. This was an outcome created by us, the United States and nobody else, no other nation, very simple.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","00:43"
"Donald Trump","And we’re willing to take blame and we’re also willing to take credit. This is something they’ve been trying to do for many decades. Since then, others have come out to help and we welcome them to do so. Other countries have stepped forward, they want to help and we think that’s great. The nations and the region must ultimately take on the responsibility of helping Turkey and Syria police their border. We want other nations to get involved. We’ve secured the oil and therefore a small number of US troops will remain in the area where they have the oil. And we’re going to be protecting it and we’ll be deciding what we’re going to do with it in the future.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","01:25"
"Donald Trump","In any event, by the moves that we’ve made, we’re achieving a much more peaceful and stable area between Turkey and Syria, including a 20 mile wide safe zone, an interesting term, safe zone. That’s the term we’re using. Hopefully that zone will become safe. Thousands and thousands of people have been killed in that zone over the years that has been sought for many decades and I think we have something that’s going to be strong and hold up. Turkey, Syria and all forms of the Kurds had been fighting for centuries. We have done them a great service and we’ve done a great job for all of them and now we’re getting out, long time.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","02:08"
"Donald Trump","We were supposed to be there for 30 days, that was almost 10 years ago. So we’re there for 30 days and now we’re leaving. We’re supposed to be a very quick hit and let’s get out and it was a quick hit except they stayed for almost 10 years. Let someone else fight over this long bloodstained sand. I want to thank vice president Pence and secretary of state Pompeo for leading the American delegation so successfully to Turkey several days ago along with national security advisor O’Brien. I want to thank them very much.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","02:59"
"Donald Trump","The American delegation negotiated the original five-day ceasefire that ended Kurdish fighters to safely leave. It just got them to a point where frankly it enabled them to get out to go and move really just a few miles in a slightly different direction. So this enabled them to do so. Countless lives are now being saved as a result of our negotiation with Turkey, an outcome reached without spilling one drop of American blood. No injuries, nobody shot, nobody killed.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","03:43"
"Donald Trump","I have just spoken to General Mazloum, a wonderful man, the commander in chief of the SDF Kurds and he was extremely thankful for what the United States has done, could not have been more thankful. General Mazloum has assured me that ISIS is under very strict lock and key and the detention facilities are being strongly maintained. There were a few that got out, a small number, relatively speaking and they’d been largely recaptured.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","04:25"
"Donald Trump","I’m also sure that he will be issuing his own statement very shortly. We had a great talk, but we’ve saved the lives of many Kurds, he understands that. The war was going to be vicious and probably not very long and I’m very happy to have been involved in it as are our vice president, our secretary of state and all of the other people in our team. By getting that ceasefire to stick, we’ve done something that’s very special. But by getting the ceasefire after a tremendous amount of really tough war for a very short period of days, that is something very special.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","05:04"
"Donald Trump","Our troops are safe and the pain and suffering of the three day fight that occurred was directly responsible for our ability to make an agreement with Turkey and the Kurds that could never have been made without this short term outburst. Should Turkey fail to honor its obligations including the protection of religious and ethnic minorities, which I truly believe they will do, we reserve the right to reimpose crippling sanctions, including substantially increased tariffs on steel and all other products coming out of Turkey.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","05:57"
"Donald Trump","We are now an economic powerhouse like never before and very importantly like no other. Our economic might is stronger than it’s ever been and our competitors are not doing very well. We also expect Turkey to abide by its commitment regarding ISIS as a backup to the Kurds watching over them should something happen, Turkey is there to grab them. Further, we implore European countries to come and take those fighters that the US captured and bring them back to their countries for incarceration and for trial.","https://www.rev.com/blog/transcripts/donald-trump-syria-press-conference-transcript-trump-orders-all-turkey-sanctions-lifted-declares-victory","Donald Trump Syria Press Conference Transcript: Trump Orders All Turkey Sanctions Lifted, Declares Victory","06:33"
