"speaker","transcription","url","headlin","timing"
"Donald Trump","Today I want to recognize Lieutenant Colonel Timothy Redhair and the United States Army 36th Infantry Division. Tremendous people. From your base in Kuwait, you support our fight against radical Islamic terrorism and help combat Iranian aggression. We salute you. Thank you very much. And you’ll say, perhaps, a few words in a little while. We appreciate it very much, Timothy.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","00:00"
"Donald Trump","From the Marines, we have Special Purpose Marine Air-Ground Task Force based in Kuwait which conducts crisis response throughout the Middle-East. Colonel Andrew Priddy, your warriors bring the fight straight to the enemy so that American families can sleep soundly at home. We’ve been building up our military. We spent $2.5 trillion in the last three and a half years, and we’ve never had anything like it in terms of equipment and all of the elements that we put together. Space Force, we’re very proud of. Brand new. Nobody thought that could happen.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","00:28"
"Donald Trump","So we spent 2.5.. Think of that, $2.5 trillion. All new tanks and missiles, and rockets and everything is tippy top. Nobody thought we could ever get there and we’ve done it quickly. Most of the equipment is there. Much of it is there. Most of it’s coming. The rest of it’s coming in over the next, I would say, six months to 12 months. All made in the USA, which is very good. But every American owes you a debt of thanks, and we appreciate it. Also with us are our men and women of the US Navy aboard the USS Winston Churchill. It’s a beauty led by commander Timothy Shanley. You’re deployed in the Red Sea where you deter terrorists, defend freedom of navigation and escort ships through the Strait of Hormuz. Your magnificent ship is a powerful symbol of peace through strength.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","01:05"
"Donald Trump","And that’s what we have now is peace through strength. You look at what’s going on, no wars. They’re saying, “Wow, the president. Four years, no wars.” We stopped the wars and we won, as you know, 100% of the ISIS caliphate in Syria, Iraq. We’ve done a job. Welcome as well to everyone at Ali Al Salaam Airbase in Kuwait, including major Tommy Rutherford and the 386 expeditionary logistics readiness squadron. Thank you very much, Tommy. Your mission to support our soldiers on the ground and deliver precious cargo where it needs to go, including transporting 18 tons of medical equipment during the China virus pandemic. Keep up the outstanding work. Great job you’ve done. I hear all about it. Amazing work you do. From the United States Space… This is a very important thing to me, the Space Force, because it’s 75 years since the Air Force. This is the first one, new branch.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","01:59"
"Donald Trump","The United States Space Force. We’re joined by Lieutenant Colonel Matthew Lomeyer and the 11th Space Warning Squadron… That sounds great, at Buckley Air Force Base in Colorado. You keep watch around the world to detect missile launches, space launches, and nuclear detonations while providing critical intelligence. All of you are pioneers in the newest branch of our armed forces. And again, it’s very special to me, that new branch, because that was something I felt was necessary. And I never said it during a campaign, I said it after I became president. I saw what was happening with China and Russia and others. And it’s really something, so we’re very proud of it. Finally, we have with us members of the US Coast Guard Port Security Unit 308 under Captain General Rocco [inaudible 00:03:59]. You’re joined with us from Guantanamo Bay where you secure our coastal waters, combat drug traffickers, escort vessels, and protect our forces in the region. On American shores and beyond, the Coast Guard has always made America proud.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","03:08"
"Donald Trump","I want to tell you, I was here two years ago in Texas. You saved thousands and thousands of people. That was incredible. The job the Coast Guard has done. And now we have all new ships coming to the Coast Guard. You had old ships, and they were as good as they could be but they were very old. And now you have brand new Coast Guard ships, and it’s my honor to have gotten them for you. Today I send you the love, gratitude, respect, and prayers of our entire nation. Once again, I wish you a very happy Thanksgiving. You’re doing an incredible job and your country is doing well. We just set a record in the stock market, over 30,000 in the Dow Jones Industrial Average. Over 30,000, think of that. Nobody ever thought we were going to hit that during a pandemic. The whole world is suffering this tremendous pandemic, not just us. The world.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","04:20"
"Donald Trump","And you wouldn’t know that to listen to the news reports, but the whole world is suffering and we are rounding the curve. The vaccines are being delivered, literally it’ll start next week and the week after. And it’ll hit the frontline workers and seniors and doctors, nurses. A lot of people are going to start, and we’re going very quickly. Two companies already announced. A third one coming up, and a fourth and fifth one coming up soon also. Some people have called it a medical, really, a miracle. Could’ve taken four or five years to do this. Normally it probably would’ve taken four or five years just getting it through the FDA. We pushed it very hard. But I want to thank you all. I want to wish you a happy Thanksgiving. And let’s… Maybe if could start. Anybody would like to raise their hand. Go ahead. We’ll start with you.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","05:10"
"Speaker 1","Sir. Good evening, Mr. President. On behalf of Task Force Barkley 36th Infantry Division Command Team Major General Pat Hamilton, [inaudible 00:06:17] Major Jim Horn. I’d like to take this opportunity to say thank you for speaking with all of us, and happy Thanksgiving to you and yours as well.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","06:07"
"Donald Trump","Thank you very much.","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","06:23"
"Speaker 1","If you don’t mind, I’d like… Go ahead, sir?","https://www.rev.com/blog/transcripts/donald-trump-thanksgiving-call-to-troops-transcript-2020-addresses-possibility-of-conceding-election","Donald Trump Thanksgiving Call to Troops Transcript 2020: Addresses Possibility of Conceding Election","06:27"
