"speaker","transcription","url","headlin","timing"
"Lester Holt","Good evening, from Hofstra University in Hempstead, New York. I’m Lester Holt, anchor of NBC Nightly News. I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan nonprofit organization. The commission drafted tonight’s format, and the rules have been agreed to by the campaigns. The 90 minute debate is divided into six segments, each 50 minutes long. We’ll explore three topic areas tonight, achieving prosperity, America’s direction, and securing America. At the start of each segment, I will ask the same lead off question to both candidates and they will each have up to two minutes to respond. From that point until the end of the segment, we’ll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. We’ll invite you to applaud. However, at this moment, as we walk on the candidates, Democratic nominee for President of the United States, Hillary Clinton and Republican nominee for President of the United States, Donald J. Trump.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","00:07"
"Hillary Clinton","Hey, how are you, Donald?","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","01:21"
"Lester Holt","[inaudible 00:01:48] Good luck to you. Well, I don’t expect us to cover all the issues of this campaign tonight. But I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important. And we’re going to press for specifics. I am honored to have this role, but this evening belongs to the candidates. And just as important to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So let’s begin. We’re calling this opening segment, achieving prosperity and central to that is jobs. There are two economic realities in America today. There’s been a record, six straight years of job growth and new census numbers show incomes have increased at a record rate after years of stagnation, however, income inequality remains significant and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton. Why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","01:48"
"Hillary Clinton","Thank you, Lester and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we’ll build together. Today is my granddaughter’s second birthday so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs and infrastructure in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women’s work. I also want to see more companies do profit sharing. If you help create the profits, you should be able to share in them, not just the executives at the top.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","02:51"
"Hillary Clinton","And I want us to do more to support people who are struggling to balance family and work. I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under. So let’s have paid family leave, earned sick days. Let’s be sure we have affordable childcare and debt-free college. How are we going to do it? We’re going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it’s good to be with you. We’re going to have a debate where we are talking about the important issues facing our country. You have to judge us. Who can shoulder the immense awesome responsibilities of the presidency? Who can put into action the plans that will make your life better? I hope that I will be able to earn your vote on November 8th.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","03:56"
"Lester Holt","Secretary Clinton, thank you. Mr. Trump, the same question to you. It’s about putting money, more money, into the pockets of American workers. You have up to two minutes.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","04:55"
"Donald Trump","Thank you. Lester. Our jobs are fleeing the country. They’re going to Mexico. They’re going to many other countries. You look at what China is doing to our country in terms of making our product. They’re devaluing their currency and there’s nobody in our government to fight them. And we have a very good fight and we have a winning fight, because they’re using our country as a piggy bank to rebuild China and many other countries are doing the same thing. So we’re losing our good jobs, so many of them. When you look at what’s happening in Mexico, a friend of mine who builds plants said, it’s the eighth wonder of the world, that building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that. Their small car division leaving, thousands of jobs. Leaving Michigan, leaving Ohio, they’re all leaving, and we can’t allow it to happen anymore.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","05:02"
"Donald Trump","As far as childcare is concerned. And so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we’re going to do, but perhaps we’ll be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and with it firing all of their people. All you have to do is take a look at Carrier Air Conditioning in Indianapolis, they fired 1400 people. They’re going to Mexico. So many, hundreds and hundreds, of companies are doing this. We can not let it happen.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","05:59"
"Donald Trump","Under my plan, I’ll be reducing taxes tremendously from 35% to 15% for companies, small and big businesses, that’s going to be a job creator like we haven’t seen since Ronald Reagan, it’s going to be a beautiful thing to watch. Companies will come. They will build, they will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals and we have to stop these countries from stealing our companies and our jobs.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","06:39"
"Lester Holt","Secretary Clinton, would you like to respond?","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","07:11"
"Hillary Clinton","Well, I think that trade is an important issue. Of course, we are 5% of the world’s population. We have to trade with the other 95% and we need to have smart, fair trade deals. We also though need to have a tax system that rewards work and not just financial transactions and the kind of plan that Donald has put forth would be trickle down economics all over again. In fact, it would be the most extreme version. The biggest tax cuts for the top percent of the people in this country than we’ve ever had. I call it trumped up, trickle down because that’s exactly what it would be. That is not how we grow the economy. We just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives.","https://www.rev.com/blog/transcripts/donald-trump-vs-hillary-clinton-1st-presidential-debate-2016","Donald Trump vs. Hillary Clinton 1st Presidential Debate Transcript 2016","07:13"
