"speaker","transcription","url","headlin","timing"
"Donald Trump","Worked everything out for the federal government to be very, very efficient and be very aggressive in getting everything back and going, and going as it should. So I just want to thank Pete and all of the people at FEMA. I want to thank Chad Wolf. I want to congratulate him on his nomination. Fantastic, I hope that goes very quickly. It should go very quickly. You’ve done a fantastic job. And with that, maybe I’ll have Chad say a few words, and then Pete, you can say something. And we’ll take some questions, please.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","00:00"
"Chad Wolf","Well, Mr. President, Mr. Vice president, thank you for being here at FEMA’s National Response and Coordination Center. The situation on the ground as we hear it is fluid and challenging, but again, your entire administration had been preparing for the storm, and we are responding. As you indicated Mr. President, it’s one of the strongest hurricanes to ever hit this part of the country, but the experience, skill, and expertise of the entire DHS response and relief efforts have been mobilized and are in the field today, responding. I think you’ve heard Administrator Gaynor. I know the vice president has. Time and time again, the best response to a disaster is one that is locally executed, state managed, and federally supported. And thankfully, we have very strong partners, both with Governor Abbott and Governor Edwards in this fight to respond. Mr. President, you acted quickly to authorize emergency disaster declarations for Texas, Louisiana, and Arkansas, which has allowed the federal government to prepare and now respond to the hurricane.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","00:32"
"Chad Wolf","So thank you for that as well. A successful response involves an all-government approach, and so FEMA is leading that approach, and your Coast Guard pre-positioned assets, pre-positioned its people, and are responding today. They’re up in the air. They’re conducting search and rescue assessments and other types of assessments. We’ve also deployed Customs and Border Protection air assets as well, along with DOD Army Corps of Engineers. Again, a whole government response. I know Administrator Gaynor will be down in the area starting tomorrow, and I will likely be down there this weekend as well. So again, Americans are resilient people, and DHS is prepared to help our fellow Americans in the path of the hurricane to recover, to respond. So thank you again for being here today and showing your support to the men and women of FEMA.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","01:30"
"Donald Trump","Thank you. Good job.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","02:20"
"Speaker 3","Thank you, Mr. Secretary. Sir, we’re going to go to Dr. Neil Jacobs. He’s Assistant Secretary of Commerce for Environmental Observation and Prediction from NOAA. Neil.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","02:20"
"Dr. Neil Jacobs","Mr. President, Mr. Vice president, thank you for being here today, and a big thanks to FEMA and DHS for all their support and collaboration with us. Really wanted to thank the folks at The Weather Service and the National Hurricane Center for the fantastic and tremendous work they’ve done in predicting this and also their collaboration with the state and local emergency managers. Also wanted to mention the hurricane hunter flights flying into the storms, collecting data. At any given time, we had three different planes rotating, and also a lot of help with the Air Force. They also are sending planes into the storm to collect data. The models and the observations have been hugely beneficial this season, very much thanks to the Weather Research and Forecasting Innovation Act that you signed into law in 2017. We did have to evacuate one forecast office.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","02:30"
"Dr. Neil Jacobs","They’ve relocated the forecasting services to Brownsville, Texas, and we’ve pre-deployed emergency response aircraft to do aerial surveys in high resolution photos. As well as the coast survey, the navigation response teams are pre deployed to Galveston and [Stennis 00:00:03:34]. At this point, I’d like to turn it over to the Hurricane Center Director, Ken Graham, for his update on the storm.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","03:19"
"Donald Trump","Could I ask you, what’s the level of danger for… You say three planes flying into this storm. What’s the level of danger for the planes, the pilots flying into a storm of this magnitude, where you had up to 185 and even beyond winds? What is that level?","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","03:42"
"Dr. Neil Jacobs","So we have two P-3s, which fly at lower altitude into the actual storm, and then we have a Gulfstream that flies high altitude above the storm. I’ve actually done one of those flights myself. It’s quite bumpy, but actually the stronger the storm, so I’m told by the pilots, it’s less bumpy than the weaker storms because the convection’s more organized. So they’re flying into a stiff wind, but it’s not quite as bumpy. But believe me, it’s a lot bumpier than your average commercial flight.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","03:57"
"Donald Trump","Great. Thank you [inaudible 00:04:28].","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","04:28"
"Dr. Neil Jacobs","Yes, sir.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","04:30"
"Speaker 3","Ken Graham, I think it’s on you.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","04:34"
"Ken Graham","Okay, got it. Thank you very much. And Mr. President, Mr. Vice President, thank you for this opportunity to debrief you today. I did want to say we appreciate the relationship we have with FEMA. We actually have FEMA the hurricane, the [inaudible 00:04:47] team embedded with us here at the Hurricane Center, so it’s just a great partnership that we work these big events. So I did want to start off with the latest information on Hurricane Laura. It just became a tropical storm, 70 miles an hour on the latest updates, still moving north at 15 miles an hour. So we look at this satellite here. The NOAA satellite’s one of the tools that we use to really keep an eye on these systems like this. Landfall, as you said Mr. President, was at 1:00 AM at 150 miles an hour near Cameron, Louisiana. And it’s interesting if you look back at the three day forecast, the point that we made landfall was very close to the three day forecast on the track, so a very good forecast track.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","04:36"
"Ken Graham","And we continue to move northward through Louisiana, even seeing some impacts in Arkansas. And Hurricane Laura brought that that eyewall of 150 mile an hour winds, but not only that. The heavy rainfall and also the southerly flow that comes out of the Gulf of Mexico piles up that water, so we did see the storm surge in these areas, and also tornadoes and these dangerous rain bands that circle around the storm. So we had tornadoes, we had the heavy rain, and we have all those impacts associated with this hurricane. So what’s next, this is our latest forecast that we have. You still have those tropical storm force winds well away from the center. So there’s quite a few people that still feel the impacts from that rain, and also from those winds. A tropical storm still getting into Arkansas.","https://www.rev.com/blog/transcripts/president-trump-fema-briefing-transcript-august-27-hurricane-laura","President Trump & FEMA Briefing Transcript August 27: Hurricane Laura","05:24"
