"speaker","transcription","url","headlin","timing"
"Peter Alexander","…tested positive for COVID-19, got so close to you?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","00:00"
"Donald Trump","Well, I think probably that has to do with the fact that we all believe in tests. We have the best tests in the world, but they were tested. I believe they’re tested on a weekly basis. I just had a test, as you probably heard. In fact, I had one yesterday and I had one today and it’s negative. Mike just had a test and it’s negative, but they do the tests and it just shows you that the fallacy, it’s what I’ve been saying. Testing is not a perfect art. No matter what you do, testing is not a perfect art. So we test once a week. Now we’re going to go testing once a day. But even when you test once a day, somebody could, something happens where they catch something. I’ve had very little contact, personal contact with this gentlemen, know who he is, good person, but I’ve had very little contact. Mike has had very little contact with him, but Mike was tested and I was tested. We were both tested.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","00:04"
"Donald Trump","Yeah it’s a little bit strange, but it’s one of those things. It’s as I said, I said yesterday, Governor, all people are warriors in this country. Right now we’re all warriors. You’re warriors, we’re warriors. You could be with somebody, everything’s fine and then something happens to that person and all of a sudden test positive and we’re all warriors together. I am. You are. We all are. It’s what we were saying before. It shows the testing and we have the best tests in the world, but what happens in between when you got tested and just a couple of days later, so in this case there were a number of days missed and it was a long weekend and things and so you never know. But we both tested in a negative fashion, I guess you would call it. Any other questions?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","01:03"
"Speaker 1","Mr. President, could we get your reaction to some breaking news? The Justice Department has decided to dismiss the case against Michael Flynn. Are you aware of that?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","01:53"
"Donald Trump","I didn’t know that was happening at this moment. I felt it was going to happen just by watching and seeing like everybody else does. He was an innocent man. He is a great gentlemen. He was targeted by the Obama administration and he was targeted in order to try and take down a President. And what they’ve done is a disgrace. And I hope a big price is going to be paid. A big price should be paid. It’s never been anything like this in the history of our country. What they did, what the Obama administration did is unprecedented, has never happened. Never happened, a thing like this has never happened before in the history of our country. And I hope a lot of people are going to pay a big price because they’re dishonest, crooked people. They’re scum. And I say it a lot.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","02:00"
"Donald Trump","They’re scum. They’re human scum. They should never have happened in this country. A duly elected President. And they went after him by going after fine people. And those fine people said, no, I’m not going to lie. I can’t lie. He’s not the only one. There are many of them. And they all said, I can’t lie. They could have said something like, oh, make up a lie. Trump loves somebody or something, or some country. And they said, oh, you wouldn’t have any problem. That’s what they were trying to do and it’s a disgrace. The Obama administration, Justice Department was a disgrace and they got caught. They got caught. Very dishonest people, but much more than dishonest, it’s treason. It’s treason. So I’m very happy for General Flynn. He was a great warrior and he still is a great warrior. Now in my book, he’s an even greater warrior.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","02:49"
"Donald Trump","What happened to him should never happen again. And what happened to this presidency, to go through all of that and still do more than any President has ever done in the first three years is pretty amazing when you think of it with what we’ve done with regulations and tax cuts and second amendment and all of the things we’ve done. It’s never happened. And until two months ago, we had the greatest economy in history. Unfortunately, we had, like you did in Texas, we had to close it down. But for these people to have done that, I am very proud of General Flynn. I can tell you that right now.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","03:46"
"Speaker 1","Who would you like to see pay a price for this?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","04:21"
"Donald Trump","Oh, the people should pay a big price for what they’ve done to this country. They should pay a big price. And their partner, very complicit, is a thing called the media. The media is totally guilty, and all of those writers and so-called journalists, they’re not journalists, they’re thieves. All of those journalists that received a Pulitzer Prize should be forced to give those Pulitzer Prizes back because they were all wrong. There was no, because if you saw today more documents came out saying there was absolutely no collusion with Russia, came out very loud and clear and they wrote for years because they tried to do a number on the presidency and this President, happened to be me.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","04:24"
"Donald Trump","Pulitzer Prizes should all be returned because you know what, they were giving out falsely. It was fake news. They’re all fake news. Those Pulitzer Prizes should be given back immediately and the Pulitzer committee or whoever gives the prizes, they’re a disgrace unless they take those prizes back because they got Pulitzer Prizes for what turned out to be false stories. And Pulitzer Prizes should be given to the ones that got it right. And I could give you a long list of those names too. And you know who I’m talking about.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","05:11"
"Speaker 2","You met with President Putin today.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","05:48"
"Donald Trump","I did.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","05:48"
"Speaker 2","Did he [crosstalk 00:05:50] ventilators or any equipment for his pandemic?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","05:49"
"Donald Trump","Yes, we are helping various countries. As you know, Russia’s having a hard time with the same COVID-19. They got hit like everybody else got hit and we had a long talk and also the 75th year. And you know what the 75th year means, it was very nice. He called me because we were partners so to speak, for a very big successful war. And it was very nice. He called to, as a congratulatory call, as a call of celebration because it was the 75th year. And also I suggested if they need, because we have a lot of ventilators, if they need ventilators, we’d love to send them some and we will do that at the appropriate time. We’ll send them some ventilators. Yeah, we’ll be doing that. And that was a very nice call. And remember this, the Russia hoax made it very hard for Russia and the United States to deal with each other.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","05:52"
"Donald Trump","They are a very important nation, we’re the most powerful nation. They’re a very powerful nation. Why would we not be dealing with each other? But the Russia hoax is absolute dishonest hoax, made it very difficult for our nation and their nation to deal and we discussed that. I said it’s a very appropriate time because things are falling out now and coming in line showing what a hoax this whole investigation was. It was a total disgrace and I wouldn’t be surprised if you see a lot of things happen over the next number of weeks. This is just one piece of a very dishonest puzzle.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","06:50"
"Speaker 2","Have you been trying to arrange an arms control summit with President Putin and President [inaudible 00:00:07:34]? Is that getting anywhere?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","07:29"
"Donald Trump","We are talking about arms control with Russia and we will go forward with that and we are talking about it very seriously, having arms control. They have many nuclear weapons and so do we. We’re talking about an arms control with Russia. Yeah, they’d like to do it. We’d like to do it.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","07:35"
"Peter Alexander","Sir, can I ask you about the economy today? We’ve learned that 33 million jobs have been lost in the last seven weeks. Will there be more jobs lost in May or is that number going to start coming down next month?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","07:52"
"Donald Trump","Well, yeah, Peter, the number will start coming down at an appropriate time. Whatever that is. I’m viewing the third quarter as being a very important quarter because that’s, as I said, that’ll be a transition. I think you could almost say a transition into greatness because I think next year we’re going to have a phenomenal year, a phenomenal year economically, and we’re working very hard now. The Governor’s working along with us, the relationship with Texas has been phenomenal. And Texas is opening up and a lot of places are opening up and we want to do it. And I’m not sure that we even have a choice. I think we have to do it. This country can’t stay closed and locked down for years. Somebody could say, let’s keep it closed for a couple of years. United States of America, the greatest economy in history, two months ago in the history of our country, in the history of the world, we had a far greater economy than anybody, including China by a lot. And we had to close it down in order to really.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","08:01"
"Donald Trump","And we had to close it down in order to really do something about the plague, but we did something and we did a lot, and we also, you know what, governor? We learned a lot about it.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","09:03"
"Governor Greg Abbott","We did.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","09:12"
"Donald Trump","We know that you may have fires every once in a while in certain locations, some little ones, maybe some big ones, but you know how to shut it down. You might speak about that.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","09:12"
"Governor Greg Abbott","Sure, I would. I was talking with Dr. Birx about that. And so what we’ve done, we’ve been able to contain the spread of the coronavirus in Texas, but at the same time, we created these surge forces that will go out to regions where there are flare ups, and it’s like putting out a fire out. We have a surge force working in the panhandle in Texas right now up in Amarillo and just North of Amarillo because of an outbreak at a meat packing plant.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","09:20"
"Governor Greg Abbott","And there are several other issues with other meat packing plants in Texas. Basically, there’s only three categories causing any type of outbreak. There are meatpacking plants, there are jails and there are senior centers. And so we have task forces that focus on those three areas. If it weren’t for those three categories, the people in Texas testing positive would be very minimal.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","09:47"
"Donald Trump","And the governor and I have spoken about what he’s doing with senior citizen centers is incredible. The time and effort and love that you’re giving to senior citizens, they were just what has gone on throughout the country in some instances as you know, senior citizens areas. And the governor’s really made that a point, really almost before anybody I can think of.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","10:10"
"Governor Greg Abbott","Because of that, we have one of the lowest death rates in the United States of America.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","10:34"
"Speaker 4","Lastly, about Texas. Police were used with an armored vehicle and guns drawn to shut down a bar that’s opened up in going against the order. What role does police have in enforcing these kind of lock down and social dispensing orders?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","10:42"
"Governor Greg Abbott","Well there’s different standards used in different communities, however, today I made one thing clear. And that is, as we go through this process of trying to maintain the order in our States, as we are asking the people in our state to comply with these orders, we should not be taking these people and put them behind bars. These people who have spent their life building up a business and being told to shut it down and lose every penny they have. And then if they don’t follow every little fine point of all the rules, they suddenly are subject to arrest, that is wrong. And that’s why I issued another executive order today saying that, in the state of Texas, no one could be put behind bars because they’re not following an executive order. It’s common sense.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","10:56"
"Donald Trump","That includes the woman that we’ve been reading about with the beauty salon.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","11:46"
"Governor Greg Abbott","She’s free today.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meeting-with-texas-governor-greg-abbott-on-coronavirus","Transcript: Donald Trump Meeting with Texas Governor Greg Abbott on Coronavirus","11:50"
