"speaker","transcription","url","headlin","timing"
"Speaker 1","Appreciate all the support you’re giving us and for leadership of our governors.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:17:40"
"Donald Trump","And that’s what we’re doing. That’s what we’re here for to do that and to talk about. We just came out with a new listing on testing. We just cracked 10 million tests, which is here. I thought you’d like to show that to everybody, 10 million. We set an all time record by far. If you look down here, these are other countries that have not done anywhere near what we’re doing.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:17:46"
"Donald Trump","We double. If you add them up and double them, we’ve done more tests, but I can’t get the press to print that unfortunately, they just don’t want to print it, but I want to thank the governors for being here very much. We appreciate it. We’re going to have some good fruitful talks about going even to the next step and I know you’re trying to open up and I know you’re opening up.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:18:08"
"Donald Trump","You’re sort of more than trying. You’re opening up and you’re both do an excellent job and it’s an honor to have you at the White House very much and these two gentlemen have done a fantastic job. And David, from interior and David’s very much involved with the states and how are they doing David? What do you think?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:18:31"
"David Bernhardt","Fantastic.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:18:48"
"Donald Trump","I think so. They’re doing a good job. They really are. They’re doing a good job. We’re talking about Space Force and a lot of the States are interested in Space Force and we’re talking to some of them and I know that Colorado is very interested in it. And so we’ll be talking to you about that too. Okay. We might mention that today a little bit during our meeting. So thank you all very much. Thank you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:18:49"
"Speaker 2","Mr. President, what’s your advice administrators and school principals around the country in terms of their plans to reopen school and colleges in the fall.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:19:11"
"Donald Trump","I think they should open the schools, absolutely. I think they should and it’s had very little impact on young people and I think that if you’re an instructor, if you’re a teacher, a professor, and you’re over a certain age, let’s say 65, or maybe even if you want to be conservative 60, perhaps you want to stay out for a little while longer, but I think you should absolutely open the schools.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:19:22"
"Donald Trump","Our country is got to get back and it’s got to get back as soon as possible and I don’t consider our country coming back if the schools are closed and it’s had very little, very unusual situation, it’s had very little impact on young people and I would strongly say they should open. It’s up to the governors. It’s the governor’s choice, but the state is not open if the schools aren’t open, so again, it’s had very little impact on young people and I think they should open their schools.","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:19:45"
"Speaker 3","Mr. President, Senator Graham is introduced a bill to sanction China. Would you support it if it goes to the House and it comes to your desk. Do you support that bill?","https://www.rev.com/blog/transcripts/transcript-donald-trump-meets-with-governors-of-north-dakota-colorado","Transcript: Donald Trump Meets with Governors of North Dakota & Colorado","01:20:13"
