"speaker","transcription","url","headlin","timing"
"Donald Trump","And welcome to the Rose Garden as we take powerful action to lower healthcare costs for America’s seniors. Today, I’m proud to announce that we have reached a breakthrough agreement to dramatically slash the out-of-pocket costs of insulin. You know what’s happened to insulin over the years, right? Through the roof. Insulin, so many people, so necessary. For hundreds and thousands of seniors enrolled in Medicare, that’s a big deal, participating plans will cap costs at just $35 a month per type of insulin. And some plans may offer it free. So for everybody that was getting ripped off and paying tremendous prices as senior citizens… And Seema, I want to thank you because you brought this to my attention a long time ago. And you worked very hard on this day. And the press won’t even cover it, but they’ll cover things that are unimportant.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","00:01"
"Donald Trump","But this is a big day for seniors. This is a tremendous saving, and it allows people that… If you don’t take insulin… I just wrote this down. You go blind, stroke, amputation, kidney failure, and other things. So we’re getting it down $35 per month. And it would be anywhere from 50 to 150 to over $200 a month. So it’s a massive cut, I guess 60-70. Nobody’s seen anything like this for a long time. Sleepy Joe, can’t do this, that I can tell you. In fact, it was his problem with Obamacare that caused part of your problem. This will save impacted Americans am average of minimum $ 446 just on insulin costs a year. We’re pleased to be joined by Vice President Mike Pence and Surgeon General Jerome Adams. I also want to thank Seema again. Thank you very much for the job you’ve done helping achieve the incredible victory for Medicare patients nationwide.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","01:11"
"Donald Trump","In the past, Obamacare prevented insurance providers from competing to offer lower costs for seniors. There was no competition. There was no anything. And they ran away with what took place and the seniors were horribly hurt. Many people couldn’t take insulin. They couldn’t even think about it. As a result, Medicare beneficiaries with prescription drug coverage paid an average of $675 for a year’s supply of insulin. And sometimes as high as $1500. Harmful laws also meant that seniors often paid a different amount almost every single month. They had no idea what they were paying. They were billed. Every month they were billed a different amount and it was a massive amount. One in every three, seniors on Medicare has diabetes and over 3.3 million beneficiaries use at least one type of insulin. Over the past 10 years, these seniors have seen their out-of-pocket cost for this life-saving treatment almost double. I don’t use insulin. Should I be? Huh? I never thought about it. But I know a lot of people are very, very badly affected. Unbelievable.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","02:21"
"Donald Trump","That’s why my administration acted decisively. We slashed Obamacare’s crippling requirements and opened up competition like they’ve never seen before. They’ve never seen competition like this. Between transparency and all of the other things we’re doing, nobody’s ever had a competitive situation created like we’ve done it. And the prices, you will see very soon, they’re going to come tumbling down. Then we brought all the parties to the table, insurer, manufacturers, and other key players. And reached an agreement to deliver insulin at stable and drastically lower out-of-pocket costs for our seniors. I hope the seniors are going to remember it. Because Biden is the one that put us into the jam, because they didn’t know what they were doing. They were incompetent. Soon, nearly half of all eligible Part D and Medicare Advantage Prescription Drug Plans will offer this low-cost option. And when you say low cost, you’re really talking low cost. It’s giving seniors the freedom and choice to pick the plan that’s right for them.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","03:38"
"Donald Trump","Nothing will ever stop me from fulfilling my solemn duty to America’s seniors. I’ll use every power at my disposal to lower drug prices. And my administration will always protect Medicare and social security, and, by the way, preexisting conditions. And we got rid of the individual mandate, which is a disaster. The worst part of Obamacare was the individual mandate. When we got rid of the individual mandate, essentially, we got rid of Obamacare. If you want to know the truth. You can say that in the truest form. But we got rid of a horrible, horrible condition called the individual mandate, but we’ll always protect you on preexisting conditions. Much more so than the Democrats.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","04:46"
"Donald Trump","Here with us today is Bruce Broussard, President and CEO of a big powerful healthcare company, Humana. And I’d like to have Bruce come up and say a few words, please. Bruce? Thank you. That’s a big company. Look how young he is too. That’s very young to be running such a big company.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","05:33"
"Bruce Broussard ","Thank you very much, Mr. President.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","05:54"
"Donald Trump","Thank you, Bruce.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","05:56"
"Bruce Broussard ","Well, I speak on behalf of our 50000 teammates that work at Humana. We are thankful of being here and honored. The demo that you are describing just recently is an example of the strength of public-private partnerships in dealing with large issues such as the affordability of prescription drugs. Insulin is by far the one that is used the most. Another great example of that is the response to COVID and the crisis. And I think about one of our customers Gwen that just recently we served, was blind, did not have access to food, no one could support her because no one was in the vicinity to help her, and in addition, didn’t have access to her prescriptions. And through a strong, private-public partnership, we were able to offer her food and prescriptions delivered to her home. So I want to thank the administration for continuing to pick on large issues like this and bringing in the private enterprise to assist in that. So thank you, Seema, and everybody, everything you’ve done. So thank you.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","05:57"
"Donald Trump","What a job you’ve done, too. Really an amazing job.","https://www.rev.com/blog/transcripts/donald-trump-transcript-on-protecting-seniors-with-diabetes-may-26","Transcript: Donald Trump Remarks on Protecting Seniors with Diabetes May 26","07:07"
