"speaker","transcription","url","headlin","timing"
"Reporters","… to President Obama. President Obama.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:00"
"Donald Trump","Yeah. Go ahead. Please, go ahead.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:03"
"Reporters","Your reaction to President Obama, sir?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:06"
"Donald Trump","Yeah.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:10"
"Reporters","Your reaction to President Obama? He said that you’re targeting minorities and attacking voting rights.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:11"
"Donald Trump","Well, he did a bad job for minorities. I did much more for minorities than he did. And if you look at our numbers prior to the plague coming in, and those numbers will soon be back, you’ll see I did a much better job than Obama did by far for African Americans, for Asian Americans, for women, for anything group you look at, far better than Obama did. Yeah.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:17"
"Reporters","Mr. President, why weren’t you at John Lewis’s funeral?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:49"
"Donald Trump","Yeah, go ahead please.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:49"
"Reporters","What do you say to the people [inaudible 00:00:50]-","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:50"
"Donald Trump","Well, we don’t want that to happen. [crosstalk 00:00:53] Yeah, we don’t want that to happen. But people have to come into our country legally. Right now we have 267 miles of wall. We’re doing very well on keeping the drugs out and keeping people out that aren’t supposed to be here. But people have to come into our country legally. [crosstalk 00:01:09] Go ahead.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","00:50"
"Reporters","[inaudible 00:01:17].","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","01:17"
"Donald Trump","We’re taking a look at it very strongly. We’re working with representatives of DACA, and we’re also working on a big immigration bill, which is merit-based and something that people are going to be very happy with. We’re doing a very big immigration bill and we’re doing a very big healthcare bill. The other thing we’re working on very strongly, and it’s very important, is prescription drug prices. The drug companies are not exactly happy. In fact, I assume they’ll be taking ads. But we’re doing a drug prescription bill, in a sense. We’ve already signed it for the most part. One goes into effect very soon, that’s going to get us to be tied with or lower than the lowest drug prices anywhere in the world. Right now, the United States, because of what has happened over years, we have the highest prescription drug prices in the world. We will soon have the lowest.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","01:17"
"Reporters","Mr. President [crosstalk 00:02:14]","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","02:14"
"Donald Trump","Go ahead, Jennifer.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","02:14"
"Jennifer","Are we expecting a TikTok decision today?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-ban-tiktok-with-executive-action","Transcript: Donald Trump Says He May Ban TikTok, Talks Low Income Housing","02:14"
