"speaker","transcription","url","headlin","timing"
"Speaker 1","[inaudible 00:00:00]?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:00"
"Donald Trump","Well, they’re going to report the full scope of the deal very soon, very soon, but it’ll be totally controlled by Oracle and Walmart. All of the control is Walmart and Oracle, two great American companies. You have the combination of the Walmart, that’s obvious, and the high tech of Oracle, and the genius of the two leaders of those companies. Okay?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:01"
"Speaker 3","[crosstalk 00:00:33]. Senator Collins said, “We’d like to see the next president be the one to nominate a Supreme Court Justice.” What do you think about that?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:28"
"Donald Trump","Who said that?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:37"
"Speaker 3","Senator Collins.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:38"
"Speaker 4","Collins.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:38"
"Donald Trump","Well, I totally disagree with her. We have an obligation. We won, and we have an obligation as the winners to pick who we want. That’s not the next president. Hopefully, I’ll be the next president-","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:38"
"Speaker 5","What about Obama?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:51"
"Donald Trump","But we’re here now. Right now, we’re here. And we have an obligation to the voters, all of the people, the millions of people that put us here in the form of a victory. We have an obligation to them, to all of those voters, and it’s a very simple thing. So I would disagree. If that’s what she said, that’s not the way I read it. I read it differently. But if that’s what she said, I totally disagree.","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","00:52"
"Speaker 6","[crosstalk 00:01:17] How many people are on your short list? Do you have a short list?","https://www.rev.com/blog/transcripts/transcript-donald-trump-says-hell-have-his-scotus-pick-next-week-most-likely-will-be-a-woman","Transcript: Donald Trump Says He’ll Have His SCOTUS Pick ‘Next Week’, ‘Most Likely’ Will Be a Woman","01:17"
