"speaker","transcription","url","headlin","timing"
"Donald Trump","Well, it’s had great success and Mike Pence has done a fantastic job, whether it was on ventilators when we started. We didn’t have ventilators and we got them built very quickly and now we’re giving them to other countries all over the world that are desperate for ventilators. There’s been no person in this whole country, in our whole country that hasn’t had a ventilator if they needed it, you probably saw that. Remember at the beginning it was really tough.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","00:02"
"Speaker 2","It was.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","00:28"
"Donald Trump","And we got them built so fast. It was really an incredible mobilization. Not since World War Two has anything happened with not only ventilators, but anything else. Testing is doing really well. And the Task Force has done a great job and I had a meeting yesterday. I had a meeting this morning, probably even more importantly, and so we’ll be leaving the Task Force indefinitely. We’ll see. At a certain point that’ll end like things end, but we’ll be adding some people to the Task Force and there’ll be more in the neighborhood probably of opening our country up, because our country has to get open again. And the people want it to be open, but we have to open it up safely. So we’ll be adding two or three additional members to the Task Force. There may be one or two that will be less involved that were more involved with the original formation of the ventilator and the ventilator systems. But if they want to stay they can because they really did a fantastic job. So at a certain point we won’t need the Task Force, but we’re going to leave that. We’re going to add a couple of people to it and that will again be for the opening of our country.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","00:28"
"Donald Trump","We’re opening, if you think about it, we’re opening our country again. We’re the most successful economy in history for any country anywhere in the world. And then they came, I was sitting right here and they said, “Sir, I’m going to have to close it.” I said, “Close the what?” Basically we’re going to have to close our country. And just like you said with… I said, “Is it important that they not be together?” It’s not a question. It’s not a question. You can’t have the family together. It’s so sad. So anyway, we’re have what we did something that we did the right move. We saved millions of lives by doing what we did. But it’s unbelievably tough for a country. And most countries throughout the world did something similar. But this affected 182, 184 countries, and it’s a very sad thing. Very sad thing.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","01:35"
"Donald Trump","So we’re keeping the Task Force for a period of time. I look forward to what we can tell as a Task Force, because then the job will be essentially hopefully over, Mike. Right?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:28"
"Mike Pence","Yes, sir.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:39"
"Donald Trump","And you’ve done a fantastic job.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:40"
"Speaker 3","Mr. President.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:42"
"Donald Trump","Yes.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:42"
"Speaker 3","Could you explain the change between what you said yesterday about winding down the Task Force and now [crosstalk 00:00:02:49].","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:45"
"Donald Trump","Yeah.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:51"
"Speaker 3","Different from what you said yesterday.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-nurses-day-proclamation-contradicts-nurse-on-ppe","Transcript: Donald Trump Signs Nurse’s Day Proclamation, Contradicts Nurse on PPE","02:51"
