"speaker","transcription","url","headlin","timing"
"Speaker 5","Do you take any responsibility for these 50,000 deaths that have happened in this country?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","00:09"
"Donald Trump","I think we’ve done a great job. As you know, minimal numbers were going to be 100,000 people. Minimal numbers were going to be 100,000 people and we’re going to be hopefully far below that. If we didn’t take quick action, you could have lost many millions of people. So we’re really being given a lot of credit for a lot of people. I’m not looking for credit for myself, but I am looking for credit for people in the federal government that have done such a great job and for the doctors and nurses and everybody else. Please.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","00:15"
"Steve","Mr. President, do you have any comment on Rick Wright who says he’s going to file a whistleblower complaint?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","00:45"
"Donald Trump","I don’t know the gentleman. I’m sorry. I don’t know. I don’t know how you sign a whistleblower complaint. Is that a whistleblower complaint you’re talking about? [crosstalk 00:00:59]. How do you sign a whistleblower complaint when everybody knows who he is? I know nothing about him.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","00:50"
"Ayesha Rascoe","He says he was retaliated against because he refused to promote hydroxychloroquine.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:03"
"Donald Trump","That, I don’t know. I don’t know anything about it. I don’t know-","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:09"
"Ayesha Rascoe","Did you ever ask a scientist to promote it?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:09"
"Donald Trump","Easy. Easy. Just take it nice and easy. I don’t know anything about him. Until yesterday, I never heard of the gentleman. Okay? [crosstalk 00:01:19].","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:11"
"Speaker 5","Have you asked anyone to look into what happened to him?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:18"
"Donald Trump","What?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:22"
"Speaker 5","Have you asked anyone to look into the circumstances around him?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:22"
"Donald Trump","I have not yet. At some point I will. I guess they moved him to a different group.","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:25"
"Speaker 6","What price China should pay for spreading this virus and covering it up and lying about it?","https://www.rev.com/blog/transcripts/transcript-donald-trump-signs-relief-bill-says-comments-on-injecting-disinfectant-were-sarcastic","Transcript: Donald Trump Signs Relief Bill, Says Comments on Injecting Disinfectant Were “Sarcastic”","01:30"
