"speaker","transcription","url","headlin","timing"
"Donald Trump","John, thank you very much, and I know you’re going to be talking to us about some additional help, and actually I look forward to that meeting. Normally, I wouldn’t, but the people can use it down here. I see… Incredible. What’s the percentage of people that have insurance on their homes?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:00"
"Speaker 1","It’s around 50%, and most of the area you saw today [inaudible 00:00:26], and so those people are not going to see [inaudible 00:00:30].","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:19"
"Donald Trump","Not for long, I can see.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:30"
"Speaker 1","The biggest challenge is for those who have it, they still about a $7500 hurricane deductible, which is very, very hard [inaudible 00:00:40].","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:31"
"Donald Trump","So we’ll be talking about that, I think?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:42"
"Speaker 2","Sure.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:44"
"Donald Trump","We’ll be talking about it. Well, thank you very much, everybody. And I’m here to support the great people of Louisiana. It’s been a tremendous state for me. I love the people. We’ve had a good relationship right from the beginning. It’s very important that I was here, and already met some people that have been absolutely devastated. This was a tremendously powerful storm. In fact, when it came in, it was actually much bigger than Katrina, I would say. Katrina being somewhat of a landmark, I think, in terms of devastation, but this had more power. This was almost coming in at a five. It was a five a little bit out offshore, and it came in as a four, but 150 mile an hour. It was up to 185 at one point. I don’t know that we’ve ever seen that. But we’re joined by Governor John Bel Edwards and Senator John Kennedy, two friends of mine. They’ve done a fantastic job representing the state. And acting Secretary of Homeland Security, who’s no longer really acting in my mind, because he just got a promotion. And if John Kennedy can push him with Bill, that’d be terrific because he deserves it. He’s been doing a great job. There’s the man. Don’t talk to me anymore. I’ve done it for you. Right there is the man. But thank you very much, Chad. And FEMA administrator, Pete Gaynor. Pete, great job. And he’s all over the country right now doing different things. And we have a lot of different elements happening, but we have to take care of Louisiana. We have to take care of Texas. Texas got a little bit lucky.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","00:46"
"Donald Trump","Thanks also to the members of Congress that are here. I have a little list. That’s a lot of members. I don’t know. Where are you folks back there? I love those guys. First of all, Louisiana Attorney General. Where’s Jeff? Jeff Landry. Jeff, could you hear Jeff? He is so good. He is so tough and so good. And I agree with so much of what you do, almost all of it. I’m not sure that I’ve seen anything I don’t agree with. Great job, Jeff Landry, everybody. Thank you very much. Congressman Steve Scalise. Steve, he’s probably the bravest man in the room, but he’s done good. And I actually think he’s better looking today than he was three years ago, if you want to know the truth. He went through hell, and we found out that his family loves him. That’s for sure, because were they were with you all the way. That was a rough time in that hospital that night, right? That was a rough time, Steve. We’re glad to have you. People love you. People love you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","02:15"
"Donald Trump","Congressman Clay Higgins, and Clay, thank you very much, Clay, for being here. Congressman Garret Graves. Garret, nice to see you. What are you doing sitting back there? I can’t believe it. That’s not like you and Mike. I can’t believe you guys. They’re being low key today for a change. Right? And Mike Johnson, my friend, and he’s been a supporter. They’re all warriors. These people are warriors. They fight for us and they fight for the people that they represent, and they’re incredible warriors. Thank you, Mike. I appreciate it very much. And State Senator Mark Abraham, and Mark, thank you. Good job you’re doing here. Great job. James Waskom, Director of Louisiana Homeland Security and Emergency Preparedness. Good. You’ve got plenty to prepare for. Now do you have other storms, James, coming in? Is that what I’m hearing?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","03:09"
"James Wascom","Afraid so.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-lake-charles-la-after-hurricane-laura-august-29","Transcript: Donald Trump Speaks in Lake Charles, LA after Hurricane Laura August 29","03:59"
