"speaker","transcription","url","headlin","timing"
"Donald Trump","Problem. Okay.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:00"
"Speaker 1","We appreciate it.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:01"
"Donald Trump","We’re going to have no problem, but you get a little bit of lucky. So why don’t we let the fake news in now and we’ll talk to them for a little while. Hello, my friend. How are you? Everything good?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:01"
"Greg Abbott","Yeah, thanks for coming.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:13"
"Donald Trump","I love this guy.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:13"
"Speaker 1","He’s doing a good job.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:14"
"Donald Trump","He’s doing good. How are you? Hello everybody. Hi.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:16"
"Speaker 1","How’s that new lawsuits coming?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:20"
"Greg Abbott","Mail in ballot lawsuit-","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:22"
"Donald Trump","Which is the new, Oh. Oh, thank you. That is the-","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:24"
"Greg Abbott","Lawsuit ballot on Monday and we’re defending the circuit on Monday. Another mail in ballot lawsuit.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:29"
"Donald Trump","That is great. It’s the only way they’re going to win.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:33"
"Speaker 1","He’s at that voter fraud.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:34"
"Donald Trump","How about they want to send 80 million ballots out. Okay. 80 million. They didn’t erase 5,000 they couldn’t control it. 5,000. 80 million.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:35"
"Greg Abbott","Thursday was brilliant. That whole convention was tremendous.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:53"
"Donald Trump","That was great. It was a great day. We had tremendous, I think tremendous success. I’ll let you know on the 4th or the 3rd or the 30th or five months later, if you don’t win those lawsuits, right. Well, thank you very much, everybody. I very much appreciate you being here. Thank you. And we love this state. It’s been a great state for me and it’s been a great state for everybody in this room I can tell you Governor, right? And we’re here to help. We’re joined today by Governor Greg Abbott, very special man. And he’s doing a fantastic job for the state of Texas. And he has from day one and Lieutenant Governor Dan Patrick, another friend of mine. And thank you, Dan. And I watched you the other night on a very important show and you did incredibly well representing the state and State Attorney General Ken Paxton, where he’s a very aggressive attorney general and that’s what we like.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","00:59"
"Donald Trump","And you have got some very big ones, including the mail in ballots, right? Unsolicited I call them. The unsolicited mail in ballots, where people are sitting home and they just get hit with mail in ballots all over the place.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","01:59"
"Greg Abbott","That’s a good way to put it.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:12"
"Donald Trump","Well, I hope you’re going to be successful. I think it’s actually a very important case. Not only here, but for the whole country. So I know you’re really on top. I think we have about 18 of those cases throughout the country in Pennsylvania. We have in North Carolina, we have a lot of them, so we’ll see. But you’re one of the great leaders. Thank you very much, Ken. I appreciate it. A man who has really been there when we need him and he’s been incredible for Texas and he’s been my friend, Ted Cruz. Thank you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:13"
"Ted Cruz","Mr. President, welcome.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:40"
"Donald Trump","We spent a lot of time before and we’re working on getting Texas everything they need. We’ll bring it back.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:40"
"Ted Cruz","Thank you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:46"
"Donald Trump","Congressman Brian Babin. Brian, thank you very much. A warrior and a really terrific guy.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:47"
"Brian Babin","Good to have you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:54"
"Donald Trump","Randy. Where’s Randy? Randy. Thank you, Randy Weber, Congressman. Thank you very much. And we have a couple of people who have been friends of mine and I won’t mention too much, but they got a little shot of COVID and I understand they’re going to be perfect. They’re going to be absolutely fine. I want to say hello to Becky Ames. Becky, thank you very much. You’re doing good, right? Everything okay. Where you hit hard?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","02:55"
"Becky Ames","Not as hard as we could have been.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","03:21"
"Donald Trump","Yeah, could have been a lot harder.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","03:22"
"Becky Ames","Could have been a lot harder and we’re recovering and we appreciate you being here, Mr. President.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","03:24"
"Donald Trump","Well, thank you very much, Becky. I hear you’re doing a great job. And again, we were talking before about the path and the path could have been much more because the power was incredible. Louisiana took a very, very hard hit, but even Louisiana, if it was over just a little bit further, it would have been a record setting hit because the power was record-setting. It was at 185 and 175. It went to 150 miles an hour when it hit. But it was even worse than that. And it came quickly. It came very quickly. In fact, I guess you would say Pete, they were looking at that as a storm and all of a sudden the storm became a monster.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","03:29"
"Pete","Yes sir. In 36 hours, cat four.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:08"
"Donald Trump","Yeah. It went from a storm to 185 and 175 miles an hour. And then when it hit, and I think they say it was the the strongest that they’ve had in Louisiana and Texas in 150 years, but the path was a little bit lucky. So we got a little bit lucky so that’s great. I want to also introduce Chad Wolf who, as you know, we just took the acting away from his name and you’re doing a fantastic job, Homeland Security, and hopefully Ted will be pushing that very hard and we’ll get him through quickly because he’s done a fantastic job.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:11"
"Chad Wolf","Thank you sir.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:45"
"Donald Trump","Thank you very much, Chad.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:46"
"Chad Wolf","Still getting confirmed.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:46"
"Donald Trump","He’ll do it, all right.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:48"
"Ted Cruz","Yeah, we’ll get it done.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:49"
"Donald Trump","Good. If he says it, that means it’s a good sign. That’s a good sign. And FEMA Administrator Pete Gaynor, who’s been doing this with me for a long time and we haven’t had a loss yet. We haven’t had a loser. I’ll tell you we do it good and we do it fast and we get you back up and everything. I think Governor has been signed and you’re ready to go, right?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","04:49"
"Greg Abbott","Yes. Yes.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","05:11"
"Donald Trump","You’re ready to go. I will dispense with all of the different numbers. You know what they are. We just sort of did it. We were in Louisiana and we went through and they have been hit hard. We went through a couple of areas. I’ve never seen anything quite like it. You had trees ripped out from the roots. You had pine trees that were broken in half, not even from there. And you just don’t see that kind of power. So we went through something that was pretty, pretty bad. I don’t think you got anything like that and that’s good. So we took the emergency declaration. We gave it to the governor immediately and Dan called about it also. And I appreciate that call and between the two of them, that’s a great one two punch. The governor told me that himself so I appreciate it. And FEMA has delivered 400,000 liters water and 250,000 meals already. We’ve worked with the private sector to restore power to remaining 200,000 residents.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","05:11"
"Donald Trump","And they think the power is going to be restored almost in very good order-","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","06:07"
"Speaker 2","Pretty quick.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","06:11"
"Donald Trump","… I believe. Yeah, I believe so. And all of the other things that we’ve been doing, the infrastructure, all of the elements that we’ve been working on and we’re working very close with Ted Cruz and with John Cornyn, who I hear is doing very well by the way. I he’s a great senator. He’s doing a fantastic job. And we’ve been working with the governor and with Dan and I think maybe it’d be good if you would tell us how are we doing and what can we do and how can we help you Governor?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","06:11"
"Greg Abbott","Sure. First, I need to thank you for the way that you have stepped up. People don’t know this, but on midnight as the storm was crossing the shoreline you called me. And then so that was 1:00 AM your time. And then we spoke again the morning after it happened. You have been there for us every step of the way helping us. Never have I seen such a swift response to our request as we have received from Administrator Gaynor and we cannot thank you enough. I call him and it’s like he knows in advance I’m going to be calling him. And so he just says yes, immediately. And so of all the storms I’ve been through, which as you know, has been a lot, I’ve never received a swifter response from the administration. And so on behalf of everybody in this room and everybody across the state of Texas, we want to say thank you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","06:41"
"Greg Abbott","I want to thank the local officials, Judge Gothia in who’s county we’re in right now, we appreciate you and your leadership. The members of Congress, Becky, and the other mayors in the region. We appreciate everything you do. And of course, Nim Kidd. If I could share some details, I know you covered the details in Louisiana, just real quick. Now I have declared a disaster in 62 counties and the President has similarly declared a disaster in each of those counties. So on behalf of all of those 62 counties, we all say thank you, Mr. President, for that. Right now, our areas of focus are on power, water, points of distribution, safe return of evacuees, and damage assessment. On power and water restoration, peak power outages exceeded 350,000 locations across 35 counties. Current outages as of 9:00 AM this morning are about 120,000 locations in 23 counties, meaning that our emergency repair crews have quickly restored more than 250, I mean 230 of those power outage incidents.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","07:34"
"Greg Abbott","For drinking water assessments, 111 of 171 drinking water system assessments have been completed. 84 are operational, 26 systems are under boiled water notice. In addition to things like that, we have 19 points of distribution set up in the impacted region that are providing things like water, ice, MREs while their power and water systems remain inoperable. There were over 10,000 evacuees that are in shelters throughout the state and approximately 3,300 hotel rooms. Of the shelter residents, the Texas division of emergency management under Nim Kidd is tracking more than 2200 shelter residents who are from Louisiana. Very important is that more than 10,000 of those evacuees were in what’s called non congregate settings. What that means is they were in hotel rooms typically. That is so important because we had to respond to Hurricane Laura while also responding to COVID-19 and the best setting for someone who’s an evacuee from a hurricane is not in a large congregate setting, but in separate settings to prevent the spread of COVID-19. We succeeded in getting through Hurricane Hannah without the spread of COVID-19. I believe we will succeed in getting through Hurricane Laura without spreading COVID-19.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","08:43"
"Greg Abbott","…without spreading COVID-19. A total of 808 residents were returned on 43 buses with more missions scheduled for today, and 160 state buses are ready to assist the ongoing re-population efforts. Let’s see, that’s about it. We continue to assess damages throughout the region. We are on top of this because of the swift and effective leadership of chief Nim Kidd, but we are better capable and swifter in responding to this hurricane because of the way you and your administration so swiftly stepped up and helped out the people of Texas.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","10:01"
"Donald Trump","Well, thank you very much. Again, you’re doing a great job in every way. In fact, I noticed your COVID, you say COVID-19 many different names, at least 20 different names, right? But you go like COVID-19, that’s okay with me, at least for today. Generally, I call it something else. But you’re doing very well in that. You’re coming down very rapidly, Texas, and so is Florida, and so is Arizona. It’s been incredible. It’s down to its lowest numbers. So it’s really doing well. So, that’s prior to this and I like what you’re doing with respect to keeping people separated during this problem with the hurricane. Great job.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","10:45"
"Greg Abbott","Sure.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","11:23"
"Donald Trump","Really great job. Thank you very much.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","11:23"
"Greg Abbott","Sure, thank you.","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","11:24"
"Donald Trump","Thanks Greg. Ted, please?","https://www.rev.com/blog/transcripts/transcript-donald-trump-speaks-in-orange-tx-with-ted-cruz-greg-abbott-august-29","Transcript: Donald Trump Speaks in Orange, TX with Ted Cruz & Greg Abbott August 29","11:25"
