"speaker","transcription","url","headlin","timing"
"Donald Trump","Discuss how the federal government can accelerate the development of vaccines and therapeutic treatments for the coronavirus. We want to welcome Dr. Deborah Birx. And Dr. Birx has been to the White House a lot over her career, and she’s now going to be here working with Mike Pence and everybody full-time. And we appreciate it. We appreciate it very much, Dr. Birx, and a real expert in her field. And if you’d like, you can ask her a couple of questions when we’re finished.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","00:00"
"Donald Trump","We’re working very hard to expedite the longer process of developing a vaccine. We’re also moving with maximum speed to develop therapies so that we can help people recover as quickly as possible. We have a lot of recovery going on. We want to see if we can advance that. It’s likely that therapies will be available before a vaccine is actually ready and we’ll seek to bring all effective treatments to market as soon as possible. Some very good work has been done on the vaccine. However, they have some good progress and you’ll be able to ask a couple of questions of the folks here. We’re also working with Congress to ensure that America has what it needs to respond to this challenge, this great challenge, but everybody’s responding very well. Since the start of the outbreak, my administration has taken the most aggressive action in history to protect our citizens, including closing our borders very early, a lot earlier than people wanted us to do and that turned out to be a good decision.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","00:31"
"Donald Trump","I ordered sweeping travel restrictions, increased travel advisory levels, established screening measures and opposed historic quarantines. We have quarantines all over the country. A lot of the Coronavirus shows the importance of bringing manufacturing back to America so that we are producing at home, the medicines and equipment and everything else that we need to protect the public’s health. And I’ve been talking about this for a long time.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","01:31"
"Donald Trump","That process has already started. It started long before we ever knew about this. We want to make certain things at home. We want to be doing our manufacturing at home. It’s not only done in China, it’s done in many other places, including Ireland and a lot of places make our different drugs and things that we need so badly. And it’s not good to be dealing with one or two or three countries and we do very little at home and we’re going to start doing it at home.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","01:59"
"Donald Trump","And we’ve been talking about that for long time. And a lot of the drug companies, because of what we’ve done in terms of incentives and taxes, they’re heading back here anyway. The Coronavirus shows the importance of bringing all of that manufacturing back to America, and we will have that started. It’s already started, frankly. It started about a year ago.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","02:28"
"Donald Trump","The White House Coronavirus Task Force led by Vice President Mike Pence has been meeting daily and coordinating closely with the state and local governments. Mike had a call today with 53 governors and I heard it was a very good call and everybody’s very well coordinated and the Governors and the States, all of them, I can’t think of an exception, they’ve been really working closely with us. It’s been a very good relationship.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","02:50"
"Donald Trump","We will confront this challenge together and we will continue to do exactly what we’re doing and we’re going to be very successful. A lot of things are happening, a lot of very exciting things are happening and they’re happening very rapidly. So with that, I’d like to introduce Mike and you can say a little bit as to your calls and some of the things that are happening today.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","03:18"
"Mike Pence","Well, thank you Mr. President and the White House Corona Task Force, we’ll be meeting again this afternoon. But as you mentioned earlier today, at your direction, we hosted a video and telephone conference call with 53 governors. As the President said many times, we’re all in this together. And today’s meeting is a reflection of the fact that this President understands that industry is a part of the one team in America that’s going to address the coronavirus in this country.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","03:40"
"Mike Pence","And I’m grateful for these leaders of the nation’s top pharmaceutical companies to come in to speak to us about the development of vaccines, but also the development of therapeutic medications that can be available in the short term, and we’re grateful for your participation. The President will also be traveling tomorrow to the National Institute of Health, CDC, before the week is out and we will be meeting with leaders of the airline industry.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","04:10"
"Mike Pence","We’ll be meeting with leaders of the cruise line industry. And we welcome the partnership with industry in this country as we work out the President’s top priority, which is the health and safety and wellbeing of the American people. And let me also, Mr. President, extend my welcome to Dr. Deborah Birx, one of the leading experts in infectious diseases in the world. She has served in uniform in the United States. She has served in multiple administrations and she’s going to be our right arm here as we implement your vision for putting the health and safety and wellbeing of the American people first. So with that, Mr. President, I know Secretary Azar has a few thoughts and look forward to the meeting.","https://www.rev.com/blog/transcripts/transcript-trump-holds-coronavirus-meeting-with-pharmaceutical-executives","Transcript: Trump Holds Coronavirus Meeting with Pharmaceutical Executives","04:39"
